web_name,first_name,second_name,team,position,total_points,points_per_game,price,price_level,goals_scored,assists,ict_index,selected_by_percent,minutes,bonus,clean_sheets,clean_sheets_per_90,creativity,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,goals_conceded,goals_conceded_per_90,influence,own_goals,penalties_missed,penalties_order,penalties_saved,red_cards,saves,saves_per_90,selected_rank,starts,starts_per_90,threat,value_form,value_season,yellow_cards,goal_involvements
Zych,Oliwier,Zych,AVL,Goalkeeper,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wright,James,Wright,AVL,Goalkeeper,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revan,Sebastian,Revan,AVL,Defender,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patterson,Travis,Patterson,AVL,Midfielder,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O'Reilly,Tommi,O'Reilly,AVL,Midfielder,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smith,Adam,Smith,BOU,Defender,74.0,2.0,4.3,Budget,0.0,1.0,75.7,0.2,2940.0,5.0,7.0,0.21,261.6,1.57,0.05,2.07,0.07,0.5,54.01,1.65,0.02,58.0,1.78,406.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,34.0,1.04,88.0,0.3,17.2,11.0,1.0
Stanislas,Junior,Stanislas,BOU,Midfielder,4.0,1.0,4.8,Budget,0.0,0.0,3.9,0.0,58.0,0.0,0.0,0.0,22.9,0.18,0.28,0.22,0.34,0.04,0.69,1.07,0.06,1.0,1.55,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,628.0,0.0,0.0,7.0,0.0,0.8,0.0,0.0
Fredericks,Ryan,Fredericks,BOU,Defender,12.0,1.0,4.4,Budget,0.0,0.0,10.6,0.0,527.0,0.0,0.0,0.0,26.7,0.29,0.05,0.29,0.05,0.0,10.14,1.73,0.0,11.0,1.88,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0,5.0,0.85,12.0,0.0,2.7,1.0,0.0
Brooks,David,Brooks,BOU,Midfielder,5.0,0.8,5.3,Budget,0.0,0.0,6.0,0.0,170.0,0.0,0.0,0.0,16.4,0.2,0.11,0.53,0.28,0.33,4.4,2.33,0.17,4.0,2.12,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,2.0,1.06,31.0,0.1,0.9,1.0,0.0
Lowe,Jamal,Lowe,BOU,Midfielder,2.0,1.0,5.2,Budget,0.0,0.0,0.1,0.0,11.0,0.0,0.0,0.0,0.3,0.01,0.08,0.01,0.08,0.0,0.62,5.07,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Moore,Kieffer,Moore,BOU,Forward,57.0,2.1,4.9,Budget,4.0,0.0,57.3,0.7,1269.0,3.0,3.0,0.21,89.6,0.5,0.04,4.68,0.34,4.18,25.51,1.81,0.3,34.0,2.41,216.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,12.0,0.85,272.0,0.2,11.6,1.0,4.0
Marcondes,Emiliano,Marcondes,BOU,Midfielder,1.0,1.0,4.7,Budget,0.0,0.0,0.1,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,3.15,0.0,1.0,11.25,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Lerma,Jefferson,Lerma Solís,BOU,Midfielder,101.0,2.7,4.7,Budget,5.0,0.0,122.1,0.5,3252.0,5.0,7.0,0.19,293.6,3.0,0.08,5.58,0.15,2.58,60.57,1.68,0.07,67.0,1.85,616.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,37.0,1.02,311.0,0.9,21.5,7.0,5.0
Stacey,Jack,Stacey,BOU,Defender,6.0,0.6,4.2,Budget,0.0,0.0,6.0,0.0,293.0,0.0,0.0,0.0,8.6,0.03,0.01,0.12,0.04,0.09,6.14,1.89,0.03,10.0,3.07,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,3.0,0.92,8.0,0.0,1.4,2.0,0.0
Solanke,Dominic,Solanke,BOU,Forward,130.0,3.9,5.6,Mid,6.0,10.0,184.4,3.6,2865.0,14.0,8.0,0.25,279.9,2.3,0.07,11.39,0.36,9.09,51.51,1.62,0.29,52.0,1.63,524.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,94.0,32.0,1.01,1046.0,0.5,23.2,2.0,16.0
Cook,Lewis,Cook,BOU,Midfielder,51.0,1.8,4.9,Budget,0.0,2.0,71.2,0.1,1712.0,1.0,3.0,0.16,352.5,2.3,0.12,2.54,0.13,0.24,32.09,1.69,0.01,39.0,2.05,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,18.0,0.95,45.0,0.2,10.4,4.0,2.0
Pearson,Ben,Pearson,BOU,Midfielder,9.0,1.3,4.4,Budget,0.0,0.0,3.7,0.1,282.0,0.0,1.0,0.32,6.4,0.02,0.01,0.07,0.03,0.05,5.92,1.89,0.02,10.0,3.19,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,3.0,0.96,9.0,0.0,2.0,1.0,0.0
Christie,Ryan,Christie,BOU,Midfielder,64.0,2.0,5.3,Budget,1.0,2.0,110.5,0.1,1825.0,2.0,3.0,0.15,421.7,2.07,0.1,4.96,0.24,2.89,30.87,1.52,0.14,35.0,1.73,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,22.0,1.08,400.0,0.5,12.1,2.0,3.0
Billing,Philip,Billing,BOU,Midfielder,126.0,3.5,5.0,Budget,7.0,2.0,145.2,0.9,2766.0,14.0,9.0,0.29,388.8,2.56,0.08,7.16,0.23,4.6,49.46,1.61,0.15,54.0,1.76,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,34.0,1.11,441.0,0.4,25.2,5.0,9.0
Mepham,Chris,Mepham,BOU,Defender,43.0,1.7,4.3,Budget,0.0,0.0,74.4,0.1,2197.0,6.0,5.0,0.2,54.4,0.55,0.02,1.51,0.06,0.96,42.46,1.74,0.04,52.0,2.13,556.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,24.0,0.98,134.0,0.0,10.0,7.0,0.0
Travers,Mark,Travers,BOU,Goalkeeper,28.0,2.3,4.1,Mid,0.0,0.0,25.4,0.4,1035.0,1.0,2.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,19.68,1.71,0.0,32.0,2.78,253.0,0.0,0.0,0.0,0.0,0.0,36.0,3.13,304.0,11.0,0.96,0.0,0.1,6.8,0.0,0.0
Kelly,Lloyd,Kelly,BOU,Defender,60.0,2.6,4.3,Budget,0.0,2.0,52.1,0.5,2040.0,5.0,5.0,0.22,97.7,0.7,0.03,0.87,0.04,0.17,35.92,1.58,0.01,38.0,1.68,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,23.0,1.01,26.0,0.4,14.0,3.0,2.0
Dembélé,Siriki,Dembélé,BOU,Midfielder,6.0,1.0,4.7,Budget,0.0,0.0,11.3,0.1,104.0,0.0,0.0,0.0,52.3,0.21,0.18,0.37,0.32,0.16,2.28,1.97,0.14,2.0,1.73,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.0,0.0,28.0,0.0,1.3,0.0,0.0
Anthony,Jaidon,Anthony,BOU,Midfielder,61.0,2.0,5.2,Budget,3.0,1.0,77.2,0.1,1241.0,4.0,2.0,0.15,209.1,1.1,0.08,2.79,0.2,1.69,26.14,1.9,0.12,29.0,2.1,299.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,11.0,0.8,263.0,0.3,11.7,2.0,4.0
Zemura,Jordan,Zemura,BOU,Defender,47.0,2.5,4.2,Budget,0.0,1.0,57.1,0.1,1452.0,1.0,5.0,0.31,232.8,1.71,0.11,2.18,0.14,0.47,27.57,1.71,0.03,31.0,1.92,269.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,17.0,1.05,71.0,0.0,11.2,1.0,1.0
Dennis,Will,Dennis,BOU,Goalkeeper,0.0,0.0,3.9,Budget,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephens,Jack,Stephens,BOU,Defender,35.0,2.1,4.3,Budget,0.0,0.0,38.0,0.0,1218.0,1.0,4.0,0.3,57.3,0.23,0.02,0.59,0.05,0.36,24.62,1.82,0.03,24.0,1.77,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,13.0,0.96,51.0,0.0,8.1,3.0,0.0
Rothwell,Joe,Rothwell,BOU,Midfielder,33.0,1.6,4.9,Budget,0.0,1.0,30.6,0.0,1010.0,0.0,3.0,0.27,153.3,1.47,0.13,1.63,0.14,0.16,17.29,1.54,0.01,15.0,1.34,127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,12.0,1.07,27.0,0.2,6.7,1.0,1.0
Tavernier,Marcus,Tavernier,BOU,Midfielder,94.0,4.1,4.7,Budget,5.0,4.0,124.2,0.2,1740.0,12.0,5.0,0.26,348.4,1.37,0.07,4.5,0.23,3.13,31.77,1.64,0.16,37.0,1.91,459.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,19.0,0.98,436.0,0.0,20.0,1.0,9.0
Hill,James,Hill,BOU,Defender,0.0,0.0,4.4,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randolph,Darren,Randolph,BOU,Goalkeeper,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neto,Norberto,Murara Neto,BOU,Goalkeeper,93.0,3.4,4.5,Mid,0.0,0.0,72.8,0.6,2385.0,9.0,6.0,0.23,0.0,0.02,0.0,0.02,0.0,0.0,44.7,1.69,0.0,39.0,1.47,727.6,0.0,0.0,0.0,0.0,0.0,100.0,3.77,256.0,27.0,1.02,0.0,0.4,20.7,4.0,0.0
Senesi,Marcos,Senesi,BOU,Defender,69.0,2.2,4.4,Budget,2.0,0.0,77.5,0.2,2489.0,5.0,5.0,0.18,78.7,0.35,0.01,2.01,0.07,1.66,47.62,1.72,0.06,55.0,1.99,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,29.0,1.05,109.0,0.2,15.7,7.0,2.0
Saydee,Christian,Saydee,BOU,Forward,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bevan,Owen,Bevan,BOU,Defender,1.0,1.0,4.0,Budget,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,3.15,0.0,1.0,11.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Plain,Cameron,Plain,BOU,Goalkeeper,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adu-Adjei,Daniel,Adu-Adjei,BOU,Forward,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dacosta Gonzalez,Michael,Dacosta Gonzalez,BOU,Midfielder,0.0,0.0,4.4,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sadi,Dominic,Sadi,BOU,Forward,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ouattara,Dango,Ouattara,BOU,Midfielder,49.0,2.6,5.0,Budget,1.0,3.0,81.0,0.0,1239.0,4.0,1.0,0.07,261.0,1.68,0.12,5.2,0.38,3.52,25.86,1.88,0.26,23.0,1.67,276.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.0,15.0,1.09,274.0,0.4,9.8,1.0,4.0
Pollock,Euan,Pollock,BOU,Forward,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semenyo,Antoine,Semenyo,BOU,Forward,18.0,1.6,5.0,Budget,1.0,0.0,10.7,0.0,250.0,1.0,0.0,0.0,26.5,0.02,0.01,0.38,0.14,0.36,7.7,2.77,0.13,6.0,2.16,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,2.0,0.72,32.0,0.3,3.6,0.0,1.0
Viña,Matías,Viña,BOU,Defender,28.0,2.3,4.5,Budget,2.0,0.0,27.7,0.1,452.0,0.0,1.0,0.2,28.1,0.11,0.02,0.97,0.19,0.86,7.61,1.52,0.17,10.0,1.99,156.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,5.0,1.0,92.0,0.5,6.2,1.0,2.0
Zabarnyi,Illia,Zabarnyi,BOU,Defender,7.0,1.4,4.5,Budget,0.0,0.0,4.1,0.0,297.0,0.0,0.0,0.0,0.9,0.01,0.0,0.01,0.0,0.0,5.12,1.55,0.0,5.0,1.52,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,3.0,0.91,0.0,0.2,1.6,0.0,0.0
H.Traorè,Hamed,Traorè,BOU,Midfielder,14.0,2.0,4.5,Budget,0.0,0.0,33.8,0.0,425.0,0.0,2.0,0.42,218.5,1.15,0.24,2.19,0.46,1.04,9.94,2.1,0.22,8.0,1.69,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,5.0,1.06,36.0,0.0,3.1,0.0,0.0
Greenwood,Ben,Greenwood,BOU,Defender,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kinsey-Wellings,Max,Kinsey-Wellings,BOU,Defender,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jansson,Pontus,Jansson,BRE,Defender,29.0,2.4,4.2,Budget,1.0,0.0,23.4,0.3,722.0,0.0,2.0,0.25,2.5,0.11,0.01,0.45,0.05,0.34,13.51,1.68,0.04,14.0,1.75,176.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,9.0,1.12,53.0,0.0,6.9,0.0,1.0
Nørgaard,Christian,Nørgaard,BRE,Midfielder,71.0,3.2,5.3,Budget,1.0,6.0,82.3,0.2,1763.0,6.0,6.0,0.31,173.7,1.74,0.09,3.38,0.17,1.64,25.13,1.28,0.08,23.0,1.17,379.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,21.0,1.07,269.0,0.0,13.4,6.0,7.0
Toney,Ivan,Toney,BRE,Forward,182.0,5.5,7.1,High,20.0,4.0,258.7,18.2,2953.0,35.0,10.0,0.3,424.3,3.72,0.11,22.46,0.68,18.74,43.65,1.33,0.57,42.0,1.28,926.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,33.0,1.01,1240.0,0.3,25.6,9.0,24.0
Raya,David,Raya Martin,BRE,Goalkeeper,166.0,4.4,4.8,High,0.0,0.0,115.2,14.4,3420.0,20.0,12.0,0.32,20.1,0.12,0.0,0.23,0.0,0.11,50.12,1.32,0.0,46.0,1.21,1125.4,1.0,0.0,0.0,0.0,0.0,154.0,4.05,27.0,38.0,1.0,4.0,0.9,34.6,1.0,0.0
Canós,Sergi,Canós Tenés,BRE,Defender,5.0,1.0,5.0,Mid,0.0,0.0,2.8,0.1,73.0,0.0,0.0,0.0,13.5,0.04,0.05,0.11,0.14,0.07,1.79,2.21,0.09,2.0,2.47,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0
Dasilva,Josh,Dasilva,BRE,Midfielder,81.0,2.2,4.1,Budget,4.0,2.0,69.2,3.8,1371.0,3.0,5.0,0.33,206.1,1.62,0.11,3.2,0.21,1.58,17.89,1.17,0.1,17.0,1.12,304.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,90.0,14.0,0.92,182.0,0.6,19.8,1.0,6.0
Ajer,Kristoffer,Ajer,BRE,Defender,29.0,3.2,4.5,Budget,0.0,0.0,15.1,0.1,763.0,0.0,4.0,0.47,24.7,0.12,0.01,0.16,0.01,0.04,11.34,1.34,0.0,14.0,1.65,96.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,9.0,1.06,27.0,0.0,6.4,0.0,0.0
Henry,Rico,Henry,BRE,Defender,112.0,3.0,4.4,Budget,0.0,3.0,104.5,2.6,3240.0,4.0,11.0,0.31,401.9,2.9,0.08,4.7,0.13,1.8,48.49,1.35,0.05,46.0,1.28,444.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,37.0,1.03,197.0,0.7,25.5,4.0,3.0
Janelt,Vitaly,Janelt,BRE,Midfielder,85.0,2.4,5.5,Budget,3.0,1.0,88.1,0.1,2201.0,5.0,8.0,0.33,246.1,1.56,0.06,3.89,0.16,2.33,29.68,1.21,0.1,28.0,1.14,411.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,24.0,0.98,223.0,0.4,15.5,3.0,4.0
Ghoddos,Saman,Ghoddos,BRE,Midfielder,15.0,1.0,4.8,Budget,0.0,0.0,11.1,0.0,124.0,0.0,0.0,0.0,62.8,0.29,0.21,0.34,0.25,0.05,4.01,2.91,0.04,5.0,3.63,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,0.0,0.0,21.0,0.1,3.1,0.0,0.0
Jensen,Mathias,Jensen,BRE,Midfielder,132.0,3.6,4.8,Budget,5.0,7.0,164.1,1.8,2805.0,11.0,10.0,0.32,787.9,4.79,0.15,7.13,0.23,2.34,40.47,1.3,0.08,40.0,1.28,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,37.0,1.19,208.0,0.5,27.5,5.0,12.0
Wissa,Yoane,Wissa,BRE,Midfielder,111.0,2.9,5.3,Budget,7.0,4.0,95.5,0.3,1587.0,6.0,7.0,0.4,184.5,1.08,0.06,6.73,0.38,5.65,21.64,1.23,0.32,17.0,0.96,363.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,16.0,0.91,414.0,0.9,20.9,3.0,11.0
Roerslev,Mads,Roerslev Rasmussen,BRE,Defender,48.0,2.4,4.3,Budget,0.0,0.0,33.4,0.1,1101.0,0.0,5.0,0.41,120.6,0.82,0.07,1.1,0.09,0.28,17.67,1.44,0.02,12.0,0.98,167.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,12.0,0.98,46.0,0.1,11.2,0.0,0.0
Bech,Mads,Bech Sørensen,BRE,Defender,4.0,1.0,4.5,Budget,0.0,0.0,0.2,0.0,18.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.28,1.4,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
Pinnock,Ethan,Pinnock,BRE,Defender,112.0,3.7,4.4,Budget,3.0,0.0,113.8,0.9,2700.0,6.0,10.0,0.33,104.9,1.11,0.04,3.84,0.13,2.73,40.17,1.34,0.09,34.0,1.13,751.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,30.0,1.0,279.0,1.3,25.5,0.0,3.0
Onyeka,Frank,Onyeka,BRE,Midfielder,38.0,1.8,4.8,Budget,0.0,3.0,32.3,0.0,837.0,0.0,3.0,0.32,89.9,0.78,0.08,1.81,0.19,1.03,15.65,1.68,0.11,11.0,1.18,125.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,8.0,0.86,106.0,0.6,7.9,0.0,3.0
Baptiste,Shandon,Baptiste,BRE,Midfielder,29.0,1.3,4.5,Budget,0.0,2.0,30.7,0.2,600.0,0.0,1.0,0.15,144.5,0.53,0.08,0.85,0.13,0.32,7.51,1.13,0.05,6.0,0.9,107.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,376.0,4.0,0.6,54.0,0.2,6.4,1.0,2.0
Mbeumo,Bryan,Mbeumo,BRE,Forward,150.0,3.9,5.7,Mid,9.0,9.0,229.3,4.0,2905.0,19.0,10.0,0.31,766.3,5.53,0.17,15.01,0.46,9.48,41.96,1.3,0.29,39.0,1.21,662.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,89.0,36.0,1.12,866.0,1.2,26.3,5.0,18.0
Goode,Charlie,Goode,BRE,Defender,0.0,0.0,3.9,Budget,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forss,Marcus,Forss,BRE,Forward,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thompson,Dominic,Thompson,BRE,Defender,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bidstrup,Mads,Bidstrup,BRE,Midfielder,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balcombe,Ellery,Balcombe,BRE,Goalkeeper,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hickey,Aaron,Hickey,BRE,Defender,63.0,2.4,4.9,Mid,0.0,3.0,44.2,0.3,1918.0,2.0,5.0,0.23,119.8,0.58,0.03,0.96,0.05,0.38,28.13,1.32,0.02,30.0,1.41,223.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,23.0,1.08,98.0,0.8,12.9,7.0,3.0
Lewis-Potter,Keane,Lewis-Potter,BRE,Midfielder,14.0,1.4,5.2,Budget,0.0,1.0,21.9,0.0,313.0,0.0,0.0,0.0,64.0,0.29,0.08,0.78,0.22,0.49,4.15,1.19,0.14,4.0,1.15,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,3.0,0.86,114.0,0.0,2.7,0.0,1.0
Strakosha,Thomas,Strakosha,BRE,Goalkeeper,0.0,0.0,4.3,Mid,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mee,Ben,Mee,BRE,Defender,143.0,3.9,4.8,Mid,3.0,2.0,116.3,14.4,3269.0,11.0,12.0,0.33,92.0,0.74,0.02,3.93,0.11,3.19,46.31,1.27,0.09,40.0,1.1,761.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,37.0,1.02,307.0,1.0,29.8,2.0,5.0
Stevens,Fin,Stevens,BRE,Defender,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
